ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000122483	343099	HGNC:30370	CCDC18	NY-SAR-41	
ENSG00000223745	100131564	HGNC:52262	CCDC18-AS1	ENST00000440778.1	
ENSG00000101997	28952	HGNC:28909	CCDC22	JM1	CXorf37
ENSG00000159214	149473	HGNC:28688	CCDC24	MGC45441	
ENSG00000147419	55246	HGNC:25591	CCDC25	FLJ10853	
ENSG00000229140	137196	HGNC:28416	CCDC26	MGC27434	
ENSG00000229140	137196	HGNC:28416	CCDC26	RAM	
ENSG00000162592	148870	HGNC:26546	CCDC27	FLJ32825	
ENSG00000024862	25901	HGNC:21098	CCDC28A	CCRL1AP	C6orf80
ENSG00000024862	25901	HGNC:21098	CCDC28A	DKFZp586D0623	C6orf80
ENSG00000279968	100507462	HGNC:51715	CCDC28A-AS1		GVQW2
ENSG00000160050	79140	HGNC:28163	CCDC28B	MGC1203	
ENSG00000160050	79140	HGNC:28163	CCDC28B	RP4-622L5.5	
ENSG00000186409	728621	HGNC:26103	CCDC30	FLJ20972	
ENSG00000186409	728621	HGNC:26103	CCDC30	PFD6L	
ENSG00000186409	728621	HGNC:26103	CCDC30	LOC728621	
ENSG00000128891	90416	HGNC:28295	CCDC32	MGC20481	C15orf57
ENSG00000140481	80125	HGNC:26552	CCDC33	FLJ32855	
ENSG00000140481	80125	HGNC:26552	CCDC33	CT61	
ENSG00000109881	91057	HGNC:25079	CCDC34	NY-REN-41	
ENSG00000109881	91057	HGNC:25079	CCDC34	L15	
ENSG00000109881	91057	HGNC:25079	CCDC34	RAMA3	
ENSG00000250556	100288584	HGNC:44008	CCDC34P1		
ENSG00000165972	120935	HGNC:26843	CCDC38	FLJ40089	
ENSG00000284862	339829	HGNC:25244	CCDC39	DKFZp434A128	
ENSG00000284862	339829	HGNC:25244	CCDC39	CILD14	
ENSG00000284862	339829	HGNC:25244	CCDC39	FAP59	
ENSG00000284862	339829	HGNC:25244	CCDC39	CFAP59	
ENSG00000243187	100874112	HGNC:41089	CCDC39-AS1		
ENSG00000141519	55036	HGNC:26090	CCDC40	FLJ20753	
ENSG00000141519	55036	HGNC:26090	CCDC40	KIAA1640	
ENSG00000141519	55036	HGNC:26090	CCDC40	FLJ32021	
ENSG00000141519	55036	HGNC:26090	CCDC40	CILD15	
ENSG00000141519	55036	HGNC:26090	CCDC40	FAP172	
ENSG00000141519	55036	HGNC:26090	CCDC40	CFAP172	
ENSG00000161973	146849	HGNC:26528	CCDC42	FLJ32734	
ENSG00000161973	146849	HGNC:26528	CCDC42	CCDC42A	
ENSG00000180329	124808	HGNC:26472	CCDC43	FLJ31795	
ENSG00000108588	57003	HGNC:24856	CCDC47	GK001	
ENSG00000152492	152137	HGNC:18111	CCDC50	Ymer	C3orf6
ENSG00000152492	152137	HGNC:18111	CCDC50	Ymer	DFNA44
ENSG00000164051	79714	HGNC:25714	CCDC51	FLJ12436	
ENSG00000138483	84692	HGNC:30703	CCDC54	NYD-SP17	
ENSG00000138483	84692	HGNC:30703	CCDC54	FLJ25362	
ENSG00000138483	84692	HGNC:30703	CCDC54	SP17	
ENSG00000239828	101929579	HGNC:56107	CCDC54-AS1		
ENSG00000176155	284001	HGNC:27564	CCDC57	FLJ00130	
ENSG00000176155	284001	HGNC:27564	CCDC57	FLJ23754	
ENSG00000133773	29080	HGNC:25005	CCDC59	HSPC128	
ENSG00000133773	29080	HGNC:25005	CCDC59	TAP26	
ENSG00000133773	29080	HGNC:25005	CCDC59	BR22	
ENSG00000183273	160777	HGNC:28610	CCDC60	MGC39827	
ENSG00000104983	729440	HGNC:33629	CCDC61	VFL3	
ENSG00000104983	729440	HGNC:33629	CCDC61	hVFL3	
ENSG00000130783	84660	HGNC:30723	CCDC62	TSP-NY	
ENSG00000130783	84660	HGNC:30723	CCDC62	FLJ40344	
ENSG00000130783	84660	HGNC:30723	CCDC62	CT109	
ENSG00000130783	84660	HGNC:30723	CCDC62	ERAP75	
ENSG00000173093	160762	HGNC:26669	CCDC63	ODA5	
ENSG00000173093	160762	HGNC:26669	CCDC63	FLJ35843	
ENSG00000139537	85478	HGNC:29937	CCDC65	NYD-SP28	
ENSG00000139537	85478	HGNC:29937	CCDC65	FLJ35732	
ENSG00000139537	85478	HGNC:29937	CCDC65	FAP250	
ENSG00000139537	85478	HGNC:29937	CCDC65	CFAP250	
ENSG00000139537	85478	HGNC:29937	CCDC65	CILD27	
ENSG00000139537	85478	HGNC:29937	CCDC65	DRC2	
ENSG00000180376	285331	HGNC:27709	CCDC66	DKFZp686C0433	
ENSG00000166510	80323	HGNC:24350	CCDC68	SE57-1	
ENSG00000198624	26112	HGNC:24487	CCDC69	FLJ13705	
ENSG00000198624	26112	HGNC:24487	CCDC69	DKFZP434C171	
ENSG00000123171	83446	HGNC:25303	CCDC70	DKFZP434K1172	
ENSG00000123171	83446	HGNC:25303	CCDC70	FLJ25853	
ENSG00000177352	64925	HGNC:25760	CCDC71	FLJ12800	
ENSG00000253276	168455	HGNC:26685	CCDC71L	FLJ36031	C7orf74
ENSG00000186714	493860	HGNC:23261	CCDC73	NY-SAR-79	
ENSG00000163040	90557	HGNC:25197	CCDC74A	FLJ40345	
ENSG00000152076	91409	HGNC:25267	CCDC74B	DKFZp434E2321	
ENSG00000250261	100996538	HGNC:51917	CCDC74BP1		
ENSG00000120647	84318	HGNC:28203	CCDC77	MGC13183	
ENSG00000162004	124093	HGNC:14153	CCDC78	FLJ34512	C16orf25
ENSG00000091986	151887	HGNC:30649	CCDC80	URB	LINC01279
ENSG00000091986	151887	HGNC:30649	CCDC80	SSG1	LINC01279
ENSG00000091986	151887	HGNC:30649	CCDC80	DRO1	LINC01279
ENSG00000091986	151887	HGNC:30649	CCDC80	CL2	LINC01279
ENSG00000091986	151887	HGNC:30649	CCDC80	TCONS_00006930	LINC01279
ENSG00000149201	60494	HGNC:26281	CCDC81	FLJ16339	
ENSG00000149201	60494	HGNC:26281	CCDC81	FLJ23514	
ENSG00000149231	79780	HGNC:26282	CCDC82	FLJ23518	
ENSG00000150676	220047	HGNC:28535	CCDC83	MGC34732	
ENSG00000150676	220047	HGNC:28535	CCDC83	FLJ42119	
ENSG00000150676	220047	HGNC:28535	CCDC83	CT148	
