ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000116161	27101	HGNC:30423	CACYBP	S100A6BP	
ENSG00000225928	100420043	HGNC:45122	CACYBPP1		
ENSG00000177855	644877	HGNC:45123	CACYBPP2		
ENSG00000219188	106480809	HGNC:45124	CACYBPP3		
ENSG00000084774	790	HGNC:1424	CAD	GATD4	
ENSG00000182985	23705	HGNC:5951	CADM1	NECL2	TSLC1
ENSG00000182985	23705	HGNC:5951	CADM1	NECL2	IGSF4
ENSG00000182985	23705	HGNC:5951	CADM1	ST17	TSLC1
ENSG00000182985	23705	HGNC:5951	CADM1	ST17	IGSF4
ENSG00000182985	23705	HGNC:5951	CADM1	BL2	TSLC1
ENSG00000182985	23705	HGNC:5951	CADM1	BL2	IGSF4
ENSG00000182985	23705	HGNC:5951	CADM1	SYNCAM	TSLC1
ENSG00000182985	23705	HGNC:5951	CADM1	SYNCAM	IGSF4
ENSG00000182985	23705	HGNC:5951	CADM1	IGSF4A	TSLC1
ENSG00000182985	23705	HGNC:5951	CADM1	IGSF4A	IGSF4
ENSG00000182985	23705	HGNC:5951	CADM1	Necl-2	TSLC1
ENSG00000182985	23705	HGNC:5951	CADM1	Necl-2	IGSF4
